8656,5080,9680,1040,1079,-41
10296,5840,10392,1338,-492,1346
9812,5724,11220,1255,1369,2690
10796,5760,10504,815,4111,3645
9732,6712,9872,696,5744,4740
6560,6344,9456,149,267,3465
7920,5180,10672,-53,-5036,1635
10160,5360,11096,568,-734,2159
10292,6184,12192,889,1654,2681
10540,6520,12944,-93,3560,3817
9388,6720,13400,-617,8424,4613
10300,6608,13548,588,2814,4648
9160,5520,15108,-1188,6791,4129
8512,4720,14256,-1692,9046,2884
9740,5656,16148,-1359,5725,3847
8664,5856,17300,-2865,4134,4320
7524,4356,16408,-3995,1352,5069
3444,5088,16164,-4997,4004,566
6724,3408,15344,-5591,947,-6173
7136,3048,15692,-4283,-1742,-3681
6596,3448,14692,-3276,-433,168
6120,4020,16524,-4042,-4616,3388
5536,3352,15968,-6027,-1791,4467
3256,2460,15672,-5861,-2889,4241
2700,1804,13396,-5124,-4415,3281
2680,1060,14188,-4548,-4156,3461
2492,1324,13936,-4155,-3043,3074
3580,3648,14664,-5350,-5965,3729
3672,2712,14356,-7278,-6463,3079
1316,1340,11392,-8671,-4590,1252
2936,864,8548,-8004,-4616,-1158
4588,184,8764,-7446,-3594,-2631
3504,-812,7412,-8221,1218,-4772
4640,-872,5996,-6014,-1188,-3672
3472,636,9804,-6036,-1483,-3075
4136,-192,6628,-6822,-566,-4868
2632,-524,7456,-6133,113,-5388
3648,-696,5652,-5368,-1242,-6845
3780,-1808,5776,-3929,-3899,-7620
4568,-1880,4984,-4008,-3584,-7971
5380,-1164,3644,-2726,-5820,-7406
6820,376,4556,-1644,-6043,-6931
7308,-288,2632,-3084,-2887,-6817
5280,-1820,1888,-2867,-568,-7503
8168,-760,1424,-735,-3948,-7776
9348,276,784,-256,-1757,-7400
9328,-212,588,880,-218,-7037
11136,1452,-24,2972,-1758,-5341
11896,2712,3672,4266,-2991,-4393
12264,2816,2836,3133,-1260,-4156
12404,3284,2436,4195,2088,-4723
13604,4556,4680,5573,1727,-4057
13640,5156,6624,4321,4043,-3294
12040,4528,5228,2963,6639,-3398
12224,4440,6340,6720,4565,-1836
13880,5492,9488,7815,1846,-998
13656,5796,10268,7762,1031,426
12620,6420,10348,8466,3375,1582
13060,7504,13156,7665,1175,2165
13732,7060,13452,5696,4681,2084
13572,7168,13600,7323,-65,3846
14092,7960,14356,4861,10395,4292
12248,7476,14440,4317,-367,5582
12112,5660,12148,3185,1735,5787
9440,4832,12628,2811,7160,5415
8880,5120,12640,3775,4816,5786
8908,5736,13176,5194,3264,6594
7252,5304,14140,3690,1657,6185
6256,4328,13188,2034,4730,5100
6356,4348,13168,2034,5532,4672
5120,4620,14980,2484,3059,5344
5164,4988,16292,1637,747,5021
5040,5244,15928,-837,3319,3729
4744,5280,17308,-895,3140,3831
3592,5084,18620,-2124,1808,3214
4004,5236,18584,-3969,227,1793
4676,5000,17784,-5920,406,1061
4256,3876,17464,-6952,-21,451
3744,3632,16304,-7673,-2929,-15
3980,3184,15472,-8681,-2421,-680
3432,2192,14188,-9217,-2036,-1932
2832,1588,13552,-9441,-4922,-2316
2612,964,11736,-10659,-3212,-3628
1636,268,9884,-10598,-4365,-4513
1632,-868,7972,-9599,-6674,-5597
3572,-708,6608,-8726,-9847,-5503
4420,-700,6132,-8639,-9832,-4249
3364,-1212,4808,-8491,-5358,-6270
5004,-1504,3044,-6907,-6486,-8316
5816,-1376,2548,-4813,-5154,-9816
6048,-908,1632,-3856,-3903,-10839
5388,-860,968,-3391,-1540,-12048
6008,-88,352,-1416,-1505,-13166
6796,608,1068,-613,-755,-13410
8784,1984,72,1369,-2112,-13101
10256,3696,1956,3401,-4755,-11010
11776,3900,1180,3083,-4401,-9276
12580,5004,-64,5788,-7021,-7305
14108,5736,308,6624,-5423,-5695
11392,4844,1688,5231,3122,-6104
12220,6680,1992,7012,647,-5653
15808,9768,3952,6984,636,-3846
15428,10860,7684,4475,9384,-2938
14956,9912,5184,4446,10899,-2277
15976,9420,7204,7637,1057,1098
16524,11240,9692,8549,-1590,3871
16704,10836,9684,3888,726,3008
17020,9708,5996,326,16987,1262
16088,10824,7964,4990,17532,5036
13016,11320,12848,8506,11056,7990
12012,10432,15752,6320,6765,7699
10844,9544,14888,3241,11825,6895
9680,9024,13676,3397,11610,7588
9468,8348,14412,3454,8874,8505
5720,6776,13876,4257,8229,9120
4340,6136,14932,4353,4650,8345
2892,5896,14896,3412,6590,8577
-476,4700,15560,4400,5320,7822
-1332,4128,17556,3283,3161,5151
352,4476,15688,3563,-3118,3587
2156,4592,15760,1721,-2665,1974
2804,4492,14720,-182,-232,688
