-4248,2844,11804,-374,238,526
-4660,2608,11648,-89,-432,643
-4120,2780,11752,-350,86,465
-4440,2848,11752,-738,169,455
-4916,2420,12112,-829,893,264
-4668,2284,12208,-316,-870,441
-4340,2644,12504,-145,-1298,432
-3536,3296,13340,-425,-1393,843
-3768,3136,13584,-2196,289,783
-4932,1712,12740,-2657,360,585
-4336,1824,12120,-1742,-1822,509
-4424,1860,13268,-2023,126,291
-5112,2124,13792,-924,-1469,787
-4128,2516,14988,237,-5881,1216
-3968,2328,16020,-1413,-4589,963
-4280,1944,16096,-2171,-2715,598
-4796,848,16036,-1515,-4101,50
-4840,624,15796,696,-7247,-1052
-1832,2044,18084,2114,-10374,-1279
720,4440,19548,1486,-11156,371
-1412,2780,20544,-2465,-4351,760
-2720,2436,18980,-4736,-2440,-652
-2292,2000,18920,-5248,-3124,-1114
-2872,1248,17888,-5066,-3735,-1184
-2368,840,17032,-3743,-7267,-1203
-2900,1336,17600,-3406,-9375,-619
-2068,1192,16676,-4528,-8919,-1842
-1212,760,15660,-5282,-8261,-2450
-428,1020,14732,-4805,-7814,-2230
1040,1140,12720,-3680,-7902,-1833
816,940,12144,-3297,-6545,-909
-684,460,11864,-4002,-1962,-1743
188,1512,11340,-4425,-2973,-2076
-212,2184,9056,-4906,1591,-2446
2612,1924,6460,-3506,-1608,-1835
2752,2440,5832,-3330,-4407,829
2848,1088,1952,-2633,-1554,1784
2696,148,2192,-21,-6313,3581
1360,-40,2204,71,-3616,2585
1832,-628,2316,11,-3902,1321
1676,-1408,2272,213,-233,-128
1320,-1752,4420,1768,2868,-191
668,-1456,7296,3570,700,-556
132,-736,10980,2171,54,-995
-1324,-1244,13388,799,3574,-2682
-1148,-756,15852,638,-196,-2825
-364,-636,17328,-1057,-2709,-2102
-2104,-1592,17744,-3497,36,-2774
-1540,-2228,16764,-4473,-2499,-4232
188,-2708,15100,-5106,-4460,-4776
-1104,-3496,14436,-5683,-1968,-5674
-1372,-3996,13344,-5879,-2456,-7072
-1904,-4040,11988,-5775,-3434,-8345
-1192,-3696,9956,-4958,-4953,-8914
476,-2916,8324,-4678,-5831,-9214
396,-3380,5456,-4781,-4633,-10110
1812,-3504,3292,-2578,-5839,-10285
2936,-2280,3768,-476,-4836,-10261
3548,-1168,4340,640,-4158,-10716
4532,180,4692,553,-1551,-11426
5104,1960,5300,1369,67,-11503
5676,2632,6288,1185,652,-11546
7932,2288,4076,1489,216,-10740
9004,3260,4372,5310,-2727,-7776
9956,5136,6232,5539,-2234,-5326
9316,5564,7040,3527,1960,-5113
8396,4984,7424,2889,4920,-5296
8908,4860,7428,3945,4529,-4125
9084,5112,7268,7080,1143,-335
8016,7488,10096,8898,-533,1554
8756,7116,10508,4717,3417,-90
8896,6204,9148,4726,7357,452
10560,9172,12524,7486,6320,3535
8784,9892,16036,7495,7382,5966
6236,7464,15164,1540,16466,4068
4784,6288,16168,3982,-1741,5305
5556,7428,17672,2570,4819,4652
5268,7100,17252,2464,8418,5245
5384,7080,19072,2460,6777,6628
4292,7376,19840,2874,2615,8899
3480,7560,20460,2054,6140,9701
3312,7800,18868,2940,-292,10947
2860,7276,17768,-125,-1755,10005
3056,5632,16068,-2318,6608,9070
2756,4740,14528,-2396,5432,10652
1076,4376,15380,-1893,4328,12471
-1580,2960,14816,-4191,8170,12116
-5932,172,13968,-4813,8896,11125
-7624,-2468,12264,-2488,2260,10258
-7620,-3560,12968,680,-1154,9219
-7056,-2572,14668,1315,-876,6517
-5264,-1884,15624,349,-795,4549
-3020,-784,16588,-783,-138,3692
-2552,-476,17596,-2304,850,2871
-2512,-468,17212,-4299,1975,1484
-2012,-1076,16052,-4804,905,887
-2604,-1788,15736,-4590,228,116
-2232,-1668,15372,-4049,-642,-769
-1060,-1340,15144,-3285,-3010,-977
-364,-964,14908,-2449,-3741,-568
-20,-804,15364,-2514,-2390,-491
-1496,-1016,16216,-3537,-1723,-1140
-1840,-1056,16464,-5850,-1856,-2261
-2644,-1452,14600,-7064,-2468,-3367
-2996,-2192,12964,-6909,-3309,-4716
-2708,-2744,11464,-6745,-3598,-5945
-1892,-3084,10668,-5796,-3867,-6359
-1804,-2980,10704,-4741,-5101,-7132
-988,-2736,10064,-4488,-6122,-8191
-704,-2940,8720,-4724,-5763,-9610
0,-2968,8204,-3854,-4674,-10932
2072,-2256,8152,-2992,-7328,-11296
1992,-2468,7052,-2996,-5364,-11849
1616,-2168,6312,-2464,-1349,-13263
2388,-1832,5844,-1674,-2363,-14119
1824,-2620,4048,-550,-2127,-13566
1552,-2304,3664,3464,-4242,-13018
2152,-452,5720,6758,-9450,-13229
4300,2376,7244,6148,-13141,-13388
7016,4180,6032,1766,-14360,-11055
4528,612,-16,-1101,-6237,-10238
4048,404,-608,5610,-5629,-8476
7348,4828,3092,10545,-9523,-6717
10652,7700,4088,8349,-10694,-5804
10040,6652,5672,3897,7233,-7136
8404,6136,3212,7699,4692,-6147
9868,9320,5876,12979,-5199,-2999
10900,10780,5752,12501,-2485,-2633
9468,12400,7596,10880,-3028,-3533
10388,12928,8148,7446,601,-4955
10384,12180,9316,5558,10605,-5874
9424,14396,13696,6621,9212,-4144
11192,15532,16776,4848,4885,-2343
10620,14344,15960,2715,2338,-1329
11980,14204,16100,845,1998,-428
14624,13960,14460,-2443,9226,504
12476,12220,14820,-3083,12575,4431
9380,11004,14688,-2836,15588,6555
7616,10012,14352,-2942,12740,7450
6292,9524,15352,-3458,11337,8444
3996,8132,15092,-2941,10354,8867
3404,6948,14096,-951,4675,9048
3164,6940,14432,-1423,4824,8465
4872,6936,13752,-4098,7280,9822
3868,7400,14568,-4066,9369,11730
1292,5624,14724,-4300,13410,12723
-1196,4024,14944,-5804,4067,12139
-2064,2028,13724,-7501,10166,10487
-4560,-280,12768,-7029,7615,9589
-4600,-916,12192,-5377,3115,8043
-3612,-1180,11624,-3755,370,7583
-3616,-2236,10776,-3008,1973,6360
-3832,-2232,10800,-2525,1571,5044
-2884,-1820,10912,-2071,976,3607
-2904,-2060,11252,-2221,2157,2798
-3044,-2668,10544,-1558,1767,1440
-1664,-1328,11904,-26,-1411,650
340,36,12508,-511,-949,64
-120,-192,12204,-1109,943,-314
720,308,12872,-1057,31,-478
1248,676,12504,-1418,552,-717
876,532,12512,-1239,252,-821
1344,736,12480,-1368,956,-966
1616,964,12456,-1583,946,-1442
1176,952,12076,-1062,43,-1250
1832,860,11952,-949,140,-1369
