-900,6932,11672,-267,627,47
-708,6292,10812,-501,714,-355
368,6344,10764,1,-126,272
-296,6800,11440,133,473,792
-588,6704,11616,-121,1495,600
-816,6692,11024,209,1654,680
-52,6704,11420,777,1764,1517
-804,7316,12396,1402,4964,2432
-1928,7712,12356,1112,6177,2188
-2232,7104,12220,521,1413,2012
-272,7176,12140,373,219,1708
-716,7332,12640,965,5180,2171
-1684,7252,12712,444,4630,2263
-1560,7424,12780,-844,-23,2434
-2456,6668,12360,-1149,680,2247
-2408,6072,12484,-1015,-1041,2325
-1860,6744,13312,-413,-2685,2321
-1716,7120,14548,-797,-3386,2046
-1324,7036,14668,-1203,-2808,2161
-1924,7728,15588,-790,-629,1164
-1848,8140,16568,-3296,-2252,-1530
408,9340,18672,-4437,-7858,-659
512,8108,17464,-7877,-6830,-1333
1024,6404,16256,-6938,3745,-1685
-568,7068,16516,-5465,8209,-1857
-1760,6856,16188,-6613,1812,-1164
-1872,6544,16060,-7016,1733,-1244
-2112,5780,14832,-7050,624,-1268
-3280,5596,14768,-7071,860,-1946
-1536,5148,14388,-7104,-2837,-1060
-1684,5176,14324,-6229,-5904,1469
-1544,5880,14996,-5939,-7760,2947
-1764,7060,15048,-7961,-5620,266
-2020,5216,14112,-8779,936,-1966
-1696,4164,12148,-9453,2335,-4108
-176,3536,10592,-9981,-2021,-3431
688,2748,8636,-8312,920,-3493
2244,2052,7456,-6598,2436,-2562
436,2244,7456,-5355,3456,-1683
484,1812,6452,-6174,3352,-2768
3364,1096,4172,-7212,-2997,-910
2092,736,3248,-6145,681,423
1252,-1228,1676,-5528,-770,843
3288,-2088,720,-3395,-8012,2933
728,-696,3444,139,-2069,3735
-464,-312,6072,518,-3457,2549
844,-1016,7664,237,-6098,1293
1596,-576,9192,1462,-2123,749
1148,-140,10924,1281,249,430
1808,-324,11628,989,-1187,1191
-500,276,12548,1097,2429,1293
-2660,-156,12664,832,6379,-152
-4472,-180,13332,336,2802,-1342
-3660,-324,13904,-357,-873,-2099
-2876,-32,14956,-716,168,-2790
-2820,-320,15236,-1780,-7,-3249
-2976,-628,14384,-2126,2265,-3678
-3756,-420,15332,-2257,2056,-3776
-5104,172,15640,-3352,1999,-4663
-5556,48,14640,-3688,2916,-6194
-3960,-776,13992,-4268,-3506,-6385
-2628,-676,13848,-4813,-3724,-7126
-1784,-768,12464,-4883,-1215,-8493
-1932,-1092,11944,-5005,-68,-9168
-380,-1448,10312,-5288,376,-9670
-400,-1764,8192,-5033,471,-9930
-204,-2404,6340,-3835,1944,-10103
960,-3316,4956,-2978,221,-9977
1856,-3800,3632,-1671,-2518,-8583
1916,-3808,3624,1017,-553,-7757
2620,-2060,5308,3785,-2522,-7578
