4972,-116,14532,-813,-1188,3077
4216,-160,14224,-1259,1121,3575
3816,-32,13188,-1560,456,3639
4004,20,12968,-2105,-1812,3795
4440,-252,11756,-2062,-510,3834
4068,-72,11204,-1518,890,3836
4428,-188,11256,-1412,-1325,3978
6232,48,11508,-1530,-1903,4701
6200,276,10728,-1560,1658,4756
5748,-736,10040,-2229,1646,4794
5916,-968,8832,-1785,3095,5299
5776,-1152,8264,-1727,3637,6176
4600,-1824,7904,-1168,6049,6578
3604,-2156,7196,-360,6639,7115
2312,-1908,7732,400,4479,7803
1940,-2332,8156,810,4384,7945
1192,-2808,7964,1783,2260,8735
396,-2672,9504,2879,1211,9457
-152,-1992,9980,3104,1002,9648
-1200,-1732,9772,3769,2213,9098
-1692,-1216,10124,4656,3272,8504
-1316,-624,10472,5124,4617,7966
-2244,432,11072,5352,6006,7321
-2636,-52,11548,4804,8422,6257
-3092,-600,10528,4208,10157,5405
-3452,-508,9456,4315,7254,5955
-2816,132,9452,4602,5229,6283
-3596,376,8948,4490,6926,6553
-5444,-264,7984,5263,7981,5877
-5336,-136,9056,5823,8780,5126
-6052,1508,10488,6694,10351,4907
-6140,2924,11256,5583,8615,4631
-6148,2296,10436,3981,10381,3475
-7068,620,7964,3730,10942,3930
-8544,480,6524,6302,8027,5341
-10084,2952,9200,8686,5645,4940
-9504,4160,11608,7338,3529,3527
-8816,3028,9272,6461,4832,2407
-9008,2816,8180,8450,8056,3135
-10336,4764,10884,9812,1110,4550
-9860,7480,15224,8481,1857,1384
-8236,6076,14748,6014,5789,-1398
-9032,5372,13380,5959,14959,-2289
-11156,5444,11740,5757,12938,-1992
-12100,5480,11216,5125,8207,-2541
-11140,5108,9724,4762,3659,-1912
-10708,5220,8948,5413,797,-987
-10808,5476,8344,5586,-1644,-538
-10500,5372,8072,5958,-1145,-732
-10844,6380,8756,7301,-882,-942
-11276,6300,9868,7056,10968,-2898
-11200,6632,8764,6065,2031,-2704
-10692,6244,8824,5101,-6383,-1647
-10320,6028,8564,5852,-9243,-1014
-9396,7668,9852,6398,-2697,-2267
-8708,8120,8884,5129,3767,-3785
-8980,7536,6056,5591,-599,-2528
-8928,7924,6328,5913,-5837,-1851
-8600,8104,5972,6150,-3287,-2656
-7436,8340,6560,7339,-4397,-2393
-8028,9960,9248,7153,-8581,-1795
-6780,9364,8744,5530,-7869,-2108
-7356,8800,6888,5664,-4436,-1771
-8660,9044,6348,6198,-6222,-1361
-8992,9488,7244,6590,-7851,-1460
-8536,10228,9560,6568,-9557,-1691
-7884,11444,12816,4869,-11099,-2722
-6844,11328,12060,2234,-3728,-4371
-7528,10380,8476,1004,-474,-4639
-9472,9648,6584,1879,-2125,-5211
-8968,10252,7984,1819,-4908,-5808
-8044,10424,8020,1626,-7226,-7085
-5384,11216,10444,955,-9728,-7787
-2052,10916,9844,-1257,-12046,-7917
184,9960,8484,-2114,-12716,-6675
1840,9736,8024,-1413,-10125,-4626
1700,9764,8248,-634,-6377,-2808
440,9720,8932,-566,-2912,-1439
-808,9988,9820,-119,1253,-851
-2300,9816,10480,-313,3350,-728
-4016,9336,10332,-1021,1044,320
-4856,9008,10008,-1154,353,-16
-4528,8720,9344,-1758,-1771,-62
-4508,8196,8536,-1427,458,-56
-4712,7944,8432,-923,-71,429
-4192,7912,8724,-1403,-509,394
-5764,7624,8188,-1099,2243,436
-5712,7272,7800,-1063,850,543
-6040,7396,8100,-824,-894,529
-5988,7224,8408,-707,-740,225
-5408,7180,8484,-772,-196,65
-5572,6992,8364,-411,287,180
