-11164,-6868,11956,-97,1946,-473
-9340,-6044,11176,2802,-3374,-158
-8044,-5048,11128,4148,-6275,-24
-6132,-3580,10092,4680,-6287,207
-6264,-2880,9248,5147,-4895,-127
-4900,-1892,10144,5821,-4491,-1682
-3732,-2248,9960,2845,-5204,149
-5228,-3500,7396,-78,1831,1673
-6196,-5432,6212,1136,3968,1236
-7844,-4996,7484,4066,-240,785
-6748,-5048,8888,3876,-1615,318
-9152,-6964,10616,4924,3013,288
-11112,-7652,12992,7502,-641,365
-10992,-7848,16276,7275,-3178,-409
-11936,-7340,18584,6144,-335,-2377
-12092,-6720,19980,5167,-2279,-2656
-12340,-6072,19996,4617,-5241,-3639
-10924,-4820,19572,3951,-10449,-4037
-9196,-4104,18632,2392,-11469,-5221
-6892,-3232,18704,1417,-11748,-5549
-4384,-1640,19224,1391,-16529,-3769
-4568,-716,21132,-386,-13371,-3514
-4680,-664,22668,-4139,-10299,-3783
-5860,-876,19632,-7521,-11116,-4707
-4360,-988,16268,-7301,-15562,-5574
-2544,-1700,14696,-7262,-15318,-5554
-1244,-684,12180,-6496,-10875,-4547
436,-416,10248,-6288,-11203,-4004
-740,-1948,7560,-4631,-10764,-2543
1144,-996,5264,-1305,-14793,48
308,-1180,5204,-1190,-11709,716
-364,-936,4460,-2019,-4380,-913
1560,-412,5572,-2597,-3199,-1080
-1544,-520,6188,-2664,636,-1316
-192,-96,4456,-2055,670,-1728
880,-1164,5112,-1482,-1608,-1516
560,-1824,5660,-1798,-1124,-1385
888,-2988,3812,-384,-3162,-1852
2364,-3404,4048,-145,-5253,-2508
1292,-4412,3976,109,-1125,-2921
392,-4464,4172,749,399,-4004
2648,-4364,2736,1856,-4226,-4579
2672,-5704,2916,2303,-2187,-5184
2120,-5312,3212,3440,-92,-5008
2476,-5048,1864,2655,-873,-6740
4460,-5788,-1176,2309,3619,-7671
3560,-5328,-520,5652,5149,-6332
2780,-3224,324,7910,3509,-5531
2796,-1328,3028,10223,-3025,-3661
2600,1556,5208,9678,-9419,-4264
3424,-212,1888,6313,-9397,-5658
3864,-1880,1712,9251,-1258,-6669
2044,-380,5996,10231,5637,-7398
1124,2516,10160,10511,5542,-7514
3384,5724,12228,9734,3492,-7914
5768,7032,14008,8759,2124,-5651
4240,5908,14952,7173,9993,-4871
2596,5684,14636,7159,10347,-3351
2888,7888,22520,5602,17130,-5023
1908,7004,20268,3127,20477,-4445
520,7536,22140,6976,109,-854
-452,7648,26152,4337,8703,-1144
-700,7236,25072,-875,14978,-2679
-1756,5644,20472,-1698,12012,-2479
-2888,5668,21224,-507,10914,-1979
-3504,5940,20660,-1069,10701,-4649
-2576,6200,20044,-1501,3168,-3495
-792,7620,19908,-3032,2818,-1161
-864,7984,18920,-4810,4002,101
-2588,6812,17576,-5896,2999,208
-2384,6612,16648,-6034,2206,1078
-3776,6540,17928,-5451,572,1583
-3504,5832,16696,-5559,-4897,1580
-2352,5768,14868,-4898,-9251,2307
-1864,6644,15280,-4575,-4906,3018
124,7196,15276,-4426,-6013,2348
1300,6472,15320,-5715,-9491,4340
1344,5128,13820,-6754,-1574,4741
1964,4996,12900,-4839,351,5595
1344,4768,13524,-4851,-4637,5281
3156,3064,13084,-6554,-6131,5851
4684,2576,10652,-6535,-4908,6934
5356,884,9808,-7630,-3648,7324
4572,-1512,9148,-6377,-7492,10326
3764,-1952,9832,-6882,-1025,11295
2588,-1992,9376,-4702,-5210,12899
4204,-2172,9388,-2664,-10880,15686
1748,-3436,8300,-4587,296,16478
-1168,-4836,5488,-6072,6437,16496
-7488,-7088,6048,-5705,13308,15564
-15264,-9888,7116,-1639,11216,13206
-14496,-7992,11060,121,2658,8085
-10804,-6416,15392,1026,-3671,6176
-10636,-6888,15300,-430,-2493,3964
-7716,-6732,13128,377,-7745,2967
-5284,-6624,11948,-1919,-4875,960
-3900,-6488,10952,-2491,353,-643
-2044,-5768,11280,-2165,121,-440
-4368,-7272,10600,-2312,438,403
-6800,-9004,9324,-1172,2832,-1205
-6296,-8768,9088,786,-1601,-2506
-7368,-9740,9312,2265,-2486,-3307
-7128,-9720,9972,4345,-3645,-4663
-6392,-8616,11024,4783,-6383,-6352
-6488,-8012,11568,3625,-4607,-8117
-5760,-7776,11436,3426,-3763,-9362
-5100,-6724,11364,4192,-6173,-10199
-2972,-5172,11720,5271,-6651,-11547
2348,-492,11276,6612,-9774,-10727
4636,1840,12116,6128,-15115,-9147
4936,2796,12908,2216,-8461,-9319
7604,5044,10664,1657,-6055,-9091
9888,7352,8468,1715,-7374,-6853
8916,7348,11800,1753,1440,-4992
7580,7184,13188,564,2495,-4627
7772,7380,13324,-663,-4873,-3306
7196,6092,12792,-1904,3507,-2568
4880,4576,12656,-2541,7953,-2837
4660,3612,13600,-2074,417,-2223
4832,3496,13544,-3297,5090,-2556
5100,3104,12240,-2123,4946,-1108
2076,1664,12316,-1770,2717,-973
2388,1288,12340,-74,-4356,-923
2764,1028,12312,-58,-856,-2226
4420,1620,12016,820,-1921,-2318
5496,1836,12188,1193,-4282,-1337
4176,1220,12676,401,1171,-1130
3624,1132,12588,-199,1912,-1611
3672,984,13136,-171,597,-781
1884,644,13260,-6,3013,-724
1808,1200,12836,160,1860,-1265
3016,1240,12608,559,-2385,-1356
3824,1276,11984,577,-2970,-933
4252,1772,11720,484,-1781,-508
3124,1688,11356,-214,367,-1060
3072,1628,11504,-933,683,-1794
3108,1888,11904,-1678,558,-1977
4416,1892,12184,-1977,712,-2035
5296,1792,11508,-2136,-1882,89
3384,1320,11468,-2222,2523,672
1880,1592,11684,-3167,3226,-2
2552,1932,11388,-4086,817,-772
4848,1576,11164,-4399,765,-648
5744,340,11456,-5290,2643,683
