-3008,796,15196,-577,1047,364
-3600,644,16240,-443,238,-98
-3624,748,16760,-1119,-1597,-1033
-2692,528,15088,-1603,-2384,-1636
-1376,1004,14712,-893,-4709,-1354
-1672,1188,15272,-827,-4082,-1113
-1760,808,14252,-1253,-3912,-1302
-1352,856,14288,-1056,-4857,-1390
-944,692,14372,-1306,-3762,-1556
-124,620,14956,-1235,-3193,-1368
-72,40,14996,-1359,-4352,-1193
-656,-536,17548,-1403,-4833,-1468
96,540,18704,-2253,-6542,-1518
1368,1344,18636,-2814,-8004,-1376
1972,1332,17840,-3553,-5516,-868
2220,1008,16664,-3288,-4078,319
348,616,17984,-3315,-3661,1197
-816,524,18104,-5437,-2126,-64
228,552,16700,-5406,-5122,-82
1788,252,15708,-4324,-5353,-123
2032,-28,15048,-3487,-4617,622
1160,-356,14380,-3767,-4977,888
616,-712,13344,-5121,-1354,-807
1656,-872,12212,-5270,-1197,-1517
1600,-764,11540,-4355,-1170,-1130
3184,-1184,10684,-3742,-863,-954
916,-1488,12940,-4119,-759,-442
-1200,-944,13424,-4909,-71,-2210
2836,1000,10884,-5742,-7540,-3082
3816,1592,8524,-6387,-4573,-1895
3032,812,7228,-5833,-2217,-833
2376,-356,5944,-6003,-4896,-188
1364,-812,3552,-6705,488,-2023
3784,-856,2188,-4181,-1276,-2320
3416,-1544,3492,-1766,-662,-915
1712,-2552,4380,96,1096,-958
2020,-2624,7544,842,-4199,-1502
2088,-2244,7984,487,-4116,-2550
3120,-1972,7920,1652,-5538,-2086
3500,-1708,9688,879,-829,-2979
3044,-1496,10136,-260,298,-3859
5204,-2180,9264,-291,-1836,-3886
4016,-2908,7796,524,-1506,-3165
3680,-3668,5768,1367,-2445,-3161
3388,-3204,6068,1551,-136,-3975
3080,-3172,4556,2074,248,-4346
2660,-3844,4876,2978,-696,-4879
1896,-3792,4728,4075,-1911,-5197
892,-3172,4732,4979,-1530,-6350
1112,-2416,5760,5090,1699,-7965
2740,-420,7516,5527,-875,-8550
4444,1480,8152,5114,-609,-7560
4416,1248,6976,3528,1705,-7674
2848,-324,6292,2717,184,-7646
1248,-1060,3944,908,-233,-6642
336,-1008,932,4847,2509,-8921
4104,1468,4740,9894,-3305,-4916
3784,500,7724,6889,1372,-7900
1940,256,9524,7561,5466,-9024
4148,3940,12576,9111,2380,-8947
10240,8396,19876,7906,8989,-7610
8436,8152,21908,5894,12051,-4471
6556,7648,22608,5997,-4262,-2854
9928,10592,25296,5163,-4623,-271
8588,9724,25716,1491,4045,872
6140,7224,22108,-1565,1846,-75
5048,5428,19212,-1012,4284,-368
4700,6056,18396,1519,1250,200
4424,7452,19748,1616,-1694,-197
4276,6880,18368,-1141,-460,-1740
3548,5352,15848,-1967,-427,-2148
3784,4960,15072,22,-2779,-1985
3160,5816,15636,1736,-7273,-2272
5412,7468,14908,1034,-10977,-2055
8240,9220,15864,-1587,-8415,-1168
7672,8020,13788,-4858,-1928,-1885
6644,7032,11896,-5098,283,-520
6076,7632,14220,-3438,-1481,1372
5528,8736,15376,-3414,-1839,1855
6728,8776,15068,-6950,965,1326
6460,7024,13600,-6792,1837,1653
6984,6604,11956,-4825,-2172,2971
9908,7940,13208,-3311,-4688,5027
10280,7216,13312,-3537,-3114,6824
9776,5480,12868,-3983,331,7097
9156,3700,12316,-4448,-1284,7555
8084,3248,12008,-3853,-2236,9846
6852,2828,10896,-4606,-2,9391
7736,616,8568,-6127,934,9553
7016,-432,8464,-4869,1209,11861
6224,-548,9592,-5154,5686,11898
5236,-2132,9172,-6697,4929,13741
3496,-3384,8768,-3364,3709,14955
2484,-3472,9568,-697,-1836,13480
3924,-2952,9536,707,-6084,13236
5616,-1832,9372,335,-2293,12620
6616,-1928,8340,-634,-2743,12307
8444,-1172,4672,-1838,-598,13636
5812,-1652,3384,-3641,9331,15957
-4140,-6136,5740,-3683,20909,15458
-9728,-8244,5872,814,6118,13075
-6676,-5952,5536,5070,-5677,11139
-5076,-4268,10752,5712,2665,9615
-8844,-6040,15748,4391,8293,7049
-10120,-6944,18840,3563,3097,3591
-4980,-4236,18016,1485,-4969,302
-156,-2708,15040,-535,-1653,-1428
88,-3272,14788,-704,2338,-1626
-2368,-5388,13452,-925,939,-2581
-3992,-6488,12880,-375,-976,-4923
-2192,-6156,12084,-46,-4370,-6205
-2172,-6868,11972,411,-3032,-6901
-4152,-8196,11036,1666,-2984,-8645
-2484,-8592,11320,2726,-6722,-10109
852,-9040,9664,2556,-6156,-10110
248,-10520,9092,5013,-352,-9883
-1964,-9664,9000,10576,-2410,-7730
-184,-5792,11332,17401,-9649,-6550
4244,3828,18152,18353,-18027,-3889
10536,12308,23384,8598,-13573,-3597
13216,11484,17180,-5166,-87,-7442
8412,5852,9752,-7535,8332,-7972
8596,6216,8020,-4726,-1219,-6495
11276,7308,6396,-4980,-5358,-4760
12372,7032,3780,-3880,140,-2141
8128,5196,5856,-1973,4523,-2030
5380,3148,8740,-1174,2776,-4831
7080,3832,8932,-527,-1220,-6814
11260,6188,9548,1396,-3948,-4149
8328,5148,13212,1242,840,-2061
7296,5128,13676,103,808,-1856
7088,4420,12616,-845,-67,-2120
8316,4036,12188,-600,-2257,-1089
6808,3624,11816,-1261,1079,-952
5256,3276,12116,-1442,342,-1265
5376,2560,11860,-1512,1020,-1698
5384,1444,11580,-653,5,-1796
6764,2284,11068,482,-2927,-1215
8032,2388,11168,529,-2486,-880
6728,2176,10780,-267,-705,-328
5288,2580,11716,-225,1652,-756
4720,1744,12532,-979,1220,-1891
4452,1500,12044,-791,-423,-2300
5780,2756,12788,-471,-1228,-2618
